"FID","tile","lat","lon"
0,"01CCV",-72.5432028895,178.512103327
1,"01CCV",-72.5291944189,-179.847603915
2,"01CDH",-83.3200232775,177.626055359
3,"01CDH",-83.3328391904,-178.120679109
4,"01CDJ",-82.4273567343,178.084297302
5,"01CDJ",-82.4367732801,-178.165901267
6,"01CDK",-81.5347655742,178.444656554
7,"01CDK",-81.5412656977,-178.201366784
8,"01CDL",-80.6413864226,178.735707129
9,"01CDL",-80.6452141774,-178.22995878
10,"01CDM",-79.7479263573,178.975489425
11,"01CDM",-79.7491390211,-178.253485229
12,"01CDN",-78.8550971214,179.176275249
13,"01CDN",-78.8535659654,-178.273169867
14,"01CDP",-77.9620537336,179.346980978
15,"01CDP",-77.9574111157,-178.28989879
16,"01CDQ",-77.0696910489,179.493729101
17,"01CDQ",-77.0612050443,-178.304280649
18,"01CDR",-76.1792223212,179.621043412
19,"01CDR",-76.1654795633,-178.316767524
20,"01CDS",-75.2911356232,179.732462723
21,"01CDS",-75.2691542355,-178.327720777
22,"01CDT",-74.4106503432,179.830223468
23,"01CDT",-74.3727620313,-178.337398928
24,"01CDU",-73.5622125303,179.914399786
25,"01CDU",-73.4768364207,-178.346005462
26,"01CDV",-72.5825990254,-178.342446723
27,"01CDV",-72.9056862288,179.974213179
28,"01CEH",-83.3198351366,-172.759802989
29,"01CEJ",-82.426813301,-173.260160841
30,"01CEK",-81.5336546596,-173.654004781
31,"01CEL",-80.6394694215,-173.972328734
32,"01CEM",-79.744909345,-174.234741349
33,"01CEN",-78.8505878452,-174.454607223
34,"01CEP",-77.955483445,-174.641659059
35,"01CEQ",-77.0601692663,-174.802602855
36,"01CER",-76.1652083863,-174.942434727
37,"01CES",-75.2695449549,-175.065160305
38,"01CET",-74.3737295085,-175.173648637
39,"01CEU",-73.4783092287,-175.270161655
40,"01CEV",-72.5822161229,-175.356654144
41,"01CFV",-72.5353679832,-172.370073753
42,"01DCA",-71.6479209128,178.653048187
43,"01DCA",-71.6470146786,-179.784881763
44,"01DCB",-70.7530279954,178.780613592
45,"01DCB",-70.7577628424,-179.727581664
46,"01DCC",-69.8574618843,178.89671583
47,"01DCC",-69.8649316846,-179.675245836
48,"01DCD",-68.9617705731,179.002740162
49,"01DCD",-68.9705606313,-179.627375369
50,"01DCE",-68.0665018245,179.099858286
51,"01DCE",-68.075825857,-179.583490448
52,"01DCF",-67.1705913611,179.189222134
53,"01DCF",-67.1799680732,-179.54309232
54,"01DCG",-66.2745878341,179.271650951
55,"01DCG",-66.2836958305,-179.505820949
56,"01DCH",-65.3790418263,179.347853094
57,"01DCH",-65.3876475523,-179.471361067
58,"01DCJ",-64.4828941101,179.418566661
59,"01DCJ",-64.4908094634,-179.439381266
60,"01DDA",-71.68805751,-178.287720122
61,"01DDB",-70.7921412415,-178.229759182
62,"01DDC",-69.8955712189,-178.177036747
63,"01DDD",-68.9988853277,-178.128914418
64,"01DDE",-68.1026212293,-178.084853193
65,"01DDF",-67.2057022446,-178.044324887
66,"01DDG",-66.3086652877,-178.006953589
67,"01DDH",-65.412047342,-177.972414628
68,"01DDJ",-64.5147706358,-177.940370591
69,"01DEA",-71.6859925218,-175.434544475
70,"01DEB",-70.7901795378,-175.5049958
71,"01DEC",-69.8937039629,-175.569081021
72,"01DED",-68.9971047627,-175.627575734
73,"01DEE",-68.100920507,-175.681134821
74,"01DEF",-67.2040754186,-175.730400095
75,"01DEG",-66.3071070459,-175.775828322
76,"01DEH",-65.4105529188,-175.81781403
77,"01DEJ",-64.5133358421,-175.856767264
78,"01DFA",-71.641581464,-172.588740936
79,"01DFB",-70.7479846775,-172.786621831
80,"01DFC",-69.853536393,-172.966698903
81,"01DFD",-68.958798525,-173.131128196
82,"01DFE",-68.0643290283,-173.281732643
83,"01DFF",-67.1690713531,-173.420303129
84,"01DFG",-66.2735765653,-173.548113666
85,"01DFH",-65.3783938675,-173.666265684
86,"01DFJ",-64.4824584263,-173.775906311
87,"01ECK",-63.5867025744,179.484303347
88,"01ECK",-63.5937589843,-179.409651095
89,"01ECL",-62.6910321859,179.545513342
90,"01ECL",-62.6970605079,-179.381967094
91,"01ECM",-61.7948460101,179.60269351
92,"01ECM",-61.7996550754,-179.35610414
93,"01ECN",-60.8987376689,179.656176546
94,"01ECN",-60.9020927643,-179.331910878
95,"01ECP",-60.0033302953,179.706258557
96,"01ECP",-60.0049202508,-179.309251942
97,"01ECQ",-59.1076875223,179.75328484
98,"01ECQ",-59.107066017,-179.287968816
99,"01ECR",-58.2125867743,179.797473421
100,"01ECR",-58.2090722453,-179.267958938
101,"01ECS",-57.3190184072,179.839013431
102,"01ECS",-57.3114801819,-179.249129452
